game_name,category,players,release_status
Sandbox Survival,Survival,1700,POPULAR
Sandbox Peaceful,Sandbox,442,
Sandbox Creative,Sandbox,506,
Bedwars,PvP,1000,POPULAR
One Block,Building,874,UPDATED
Greenville,Roleplay,469,
Lucky Towers,Mini-Game,107,
Pirates,Adventure,262,
Infection,PvP,177,
Cube Warfare,Shooter,261,
99 Nights,Survival,924,POPULAR
Last Stand,Survival,192,
Skywars,PvP,185,
Evil Tower,Obby,134,
BloxD Hop,Obby,45,
Doodle Cube,Building,149,
Plots,Building,390,
Murder Mystery,Mystery,138,
Bridge,PvP,36,
Paintball,Shooter,51,
Hide and Seek,Party Game,152,
Rocket Spleef,Mini-Game,69,
Rocket Obby,Obby,65,
Bingo,Party Game,115,
Natural Disaster,Survival,147,
Custom Games,Variety,2900,
